# EMODnet Human Activities — vessel density, 2021-07, leisure ship types.
# source:  https://ows.emodnet-humanactivities.eu/geonetwork/srv/api/records/0f2f3ff1-30ef-49e1-96e7-8ca78d58a07c
# zips:    https://ows.emodnet-humanactivities.eu/geonetwork/srv/api/records/0f2f3ff1-30ef-49e1-96e7-8ca78d58a07c/attachments/EMODnet_HA_Vessel_Density_0[45].zip
# members: vesseldensity_04_20210701.tif (04 = Sailing),
#          vesseldensity_05_20210701.tif (05 = Pleasure Craft)
# licence: Creative Commons CC-BY 4.0 (as stated in the dataset's
#          ISO-19139 metadata inside each zip) — attribution required.
# crs:     EPSG:3035 (ETRS89 / LAEA Europe), 1000 x 1000 m pixels,
#          equal-area, so one pixel is exactly 1 km2.
# unit:    hours per square kilometre per month. EMODnet builds it by
#          drawing a line between consecutive positions of one ship and
#          intersecting it with the 1 km grid, so it is TRACK time, not
#          message count. Per 1 km2 pixel, hours/km2 = hours.
# rows:    pixel CENTRES reprojected to WGS84, kept where the centre is
#          inside lat 53.0-59.0, lon 3.0-17.0 (the project bbox)
#          AND at least one of the two types is > 0. Sorted by lat, lon.
# lon	lat	hours_sailing	hours_pleasure
5.073141	53.000103	0.1371	0.2415
4.654879	53.000245	0.0253	0.1008
4.266309	53.000354	0.0332	0.0000
4.864013	53.000356	12.3953	11.2725
4.460597	53.000456	0.1670	0.0811
5.088006	53.000711	0.7553	1.1482
4.669738	53.000905	0.1010	0.0000
4.878876	53.000990	3.2798	2.3089
4.281163	53.001062	0.1766	0.0000
4.475454	53.001140	0.2678	0.0812
5.102871	53.001318	0.0860	0.1262
4.684598	53.001563	0.2236	0.2118
4.893738	53.001622	1.0342	1.6595
4.296018	53.001768	0.0753	0.0000
4.490312	53.001822	0.0082	0.0812
5.117737	53.001922	0.0000	0.1614
4.116573	53.002127	0.0000	0.0149
4.699459	53.002219	15.4046	7.6203
4.908602	53.002253	1.7147	1.4094
4.310874	53.002472	0.0144	0.0000
4.505170	53.002502	0.4305	0.1976
5.132603	53.002525	0.0000	0.0774
4.131426	53.002853	0.0000	0.0709
4.714320	53.002874	1.3098	1.0630
4.923465	53.002881	2.4399	0.9869
5.147469	53.003126	0.3234	0.2573
4.325729	53.003174	0.0504	0.0000
4.520028	53.003181	0.5899	0.2273
4.938329	53.003508	0.3349	0.2368
4.729181	53.003526	0.3716	0.3631
4.146279	53.003578	0.0000	0.0156
3.966822	53.003714	0.0796	0.0000
5.162336	53.003725	0.6096	0.5017
4.534887	53.003857	0.2501	0.0499
3.293477	53.004073	0.0828	0.0000
4.953194	53.004133	0.1907	0.0692
4.744043	53.004177	0.2357	0.1274
5.177203	53.004322	0.1856	0.4355
3.981673	53.004458	0.0102	0.0000
4.549747	53.004532	0.8163	0.3169
4.355442	53.004573	0.0000	0.0357
4.968058	53.004756	0.0000	0.0452
4.758905	53.004826	0.0000	0.1455
3.308319	53.004901	0.0207	0.0345
5.192070	53.004917	0.1536	0.7390
4.564606	53.005205	0.9842	0.4472
4.370300	53.005270	0.0522	0.0505
4.982923	53.005377	0.3404	0.0000
4.773768	53.005473	0.0000	0.3662
5.206938	53.005511	0.2949	0.6380
3.323160	53.005727	0.0000	0.0346
4.579466	53.005876	2.0753	0.9500
4.385157	53.005965	0.0000	0.1552
4.997789	53.005996	0.1710	0.0000
4.788631	53.006118	0.2619	3.3493
4.594327	53.006545	2.4095	0.7527
5.012655	53.006614	0.9776	0.0000
4.400015	53.006658	0.1331	0.0000
4.026230	53.006682	0.0000	0.0330
4.803494	53.006761	13.7556	25.1832
4.220554	53.007173	0.1607	0.0000
4.609188	53.007212	2.4810	0.8817
5.027521	53.007229	0.1136	0.0000
4.414874	53.007349	0.0456	0.0000
4.818358	53.007403	26.3288	16.2322
4.041084	53.007419	0.0000	0.0301
4.624050	53.007878	1.7612	0.5672
4.235410	53.007886	0.1542	0.0000
4.429733	53.008039	0.0000	0.0114
4.833222	53.008042	23.0902	26.1651
4.055937	53.008155	0.0648	0.0000
5.057255	53.008455	0.1284	0.0000
4.638912	53.008542	0.6962	0.2201
4.250267	53.008598	0.1546	0.0000
4.848087	53.008680	24.8398	48.9616
4.444592	53.008727	0.0000	0.1267
4.070792	53.008889	0.0309	0.0000
3.891310	53.008912	0.0594	0.0000
5.072123	53.009066	12.0069	0.2581
4.653774	53.009203	0.2662	0.3258
4.265124	53.009308	0.1197	0.0000
4.862952	53.009316	6.7976	7.7328
4.459452	53.009412	0.2991	0.0000
3.906162	53.009666	0.0333	0.0000
5.086990	53.009674	0.8581	1.1238
4.668637	53.009863	0.4925	0.0056
4.877817	53.009951	1.0347	0.3571
4.474312	53.010096	0.1488	0.0000
5.101859	53.010280	0.1762	0.0000
4.683500	53.010522	0.3907	0.4297
4.892683	53.010583	0.6601	0.5553
4.489173	53.010779	0.2610	0.0000
5.116727	53.010885	0.0000	0.2349
4.698363	53.011178	16.4212	7.7192
4.907549	53.011213	1.9150	0.2228
4.504034	53.011459	0.4435	0.0811
5.131596	53.011488	0.0000	0.1754
4.713227	53.011832	0.5865	0.7051
4.922416	53.011842	1.3262	0.4598
5.146466	53.012089	0.1803	0.3001
4.324557	53.012129	0.0586	0.0000
4.518895	53.012138	0.2845	0.3016
4.937283	53.012469	0.1859	0.0097
4.728092	53.012485	0.4852	0.3647
4.145070	53.012530	0.0000	0.0561
5.161336	53.012688	0.3005	0.0272
4.533757	53.012814	0.2996	0.2063
4.339416	53.012829	0.0062	0.0000
3.292092	53.013015	0.0601	0.0000
4.952150	53.013094	0.0731	0.3415
4.742956	53.013136	0.1767	0.0746
4.159927	53.013253	0.0000	0.0466
5.176206	53.013285	0.3500	0.4639
3.980429	53.013409	0.0756	0.0000
4.548620	53.013489	0.5605	0.1461
4.757822	53.013785	0.0000	0.1455
3.306936	53.013843	0.0393	0.0000
5.191076	53.013881	0.2790	0.3953
3.995284	53.014152	0.0168	0.0000
4.563483	53.014162	1.0362	0.2949
4.369136	53.014225	0.0075	0.0564
4.981886	53.014338	0.2234	0.0000
4.772687	53.014432	0.0000	0.1383
5.205947	53.014475	0.2325	1.6185
3.321780	53.014669	0.0000	0.0691
4.578346	53.014833	1.2923	0.9483
4.383997	53.014920	0.0447	0.1382
