line,kind,island,osm_type,osm_id,note
Bøjden – Fynshav,domestic,,way,12334972,
Feggesund,domestic,,way,127950259,
Hals – Egense,domestic,,way,37632060,
Hardeshøj – Ballebro,domestic,,way,23609972,"Als Fjord shortcut; Als is bridge-connected, so domestic and not island"
Hundested – Rørvig,domestic,,way,4813405,
Hvalpsund – Sundsøre,domestic,,way,28007758,
Kulhuse – Sølager,domestic,,way,4813396,
København – Flakfortet,domestic,,way,118362257,"artificial island fort in Oresund, excursion traffic"
København – Middelgrundsfortet,domestic,,way,295397531,"artificial island fort in Oresund, excursion traffic"
Københavns havnebus,domestic,,relation,3934902,
Københavns havnebus,domestic,,relation,3934903,
Københavns havnebus,domestic,,way,70497064,
Københavns havnebus,domestic,,way,1052622517,
Københavns havnebus,domestic,,way,1340464604,
Rømø – Sylt (List – Havneby),domestic,,way,34142186,"cross-border DK-DE; filed domestic on the coordinator's list, not by the one-Danish-end rule"
Spodsbjerg – Tårs,domestic,,way,26204104,
Thyborøn – Agger,domestic,,way,27832399,
Udbyhøj kabelfærge,domestic,,way,38893793,
Arendal – Kolbjørnsvik,foreign,,way,440445657,
Arendal – Merdø,foreign,,way,229501351,
Arendal – Skilsø,foreign,,way,254465430,
Aspöleden (Karlskrona),foreign,,way,25780601,
Baabe – Sellin,foreign,,relation,10668162,
Barth – Zingst,foreign,,relation,8872335,
Barth – Zingst,foreign,,way,38969125,
Bensersiel – Langeoog,foreign,,relation,8855925,
Bensersiel – Langeoog,foreign,,way,24612420,
Björkö – Lilla Varholmen (Göteborg),foreign,,relation,3103195,
Björkö – Lilla Varholmen (Göteborg),foreign,,relation,3103196,
Björkö – Lilla Varholmen (Göteborg),foreign,,way,4305057,
Bohuslän (unnamed – 58.05 N),foreign,,way,1536116634,
Born a. Darß – Prerow,foreign,,relation,8872334,
Born a. Darß – Prerow,foreign,,way,144869217,
Born a. Darß – Prerow,foreign,,way,427673334,
Brake – Sandstedt,foreign,,relation,8855860,
Brake – Sandstedt,foreign,,way,10415614,
Breege – Hiddensee,foreign,,relation,8872338,
Breege – Hiddensee,foreign,,way,26001590,
Brunsbüttel – Cuxhaven (helgoline),foreign,,way,1264102103,
Dagebüll – Föhr – Amrum,foreign,,relation,16192270,
