route,operator,port_a,port_b,summer_weekday_departures_per_direction,crossing_minutes,source_url,read_on,note
Svendborg – Ærøskøbing,Ærøfærgerne,Svendborg,Ærøskøbing,11,75,https://www.aeroe-ferry.dk/da/sejlplaner/sejlplan-pr-22-juni-til-18-oktober-2026,2026-09-09,"2026 timetable valid 22 Jun–13 Sep; Man-fre column from Svendborg: 07:00 08:00 10:00 11:00 13:00 14:00 16:00 17:00 19:00 20:00 22:00; Ærøskøbing→Svendborg also 11 (05:25 06:25 08:30 09:30 11:30 12:30 14:30 15:30 17:30 18:30 20:30)"
Frederikshavn – Læsø,Læsøfærgen,Frederikshavn,Vesterø Havn (Læsø),6,90,https://www.laesoe-line.dk/files/downloads/Fartplan%20og%20prisliste%20L%C3%A6s%C3%B8f%C3%A6rgen%202026.pdf,2026-09-09,"2026 Fartplan; colour-coded day types. Settled July pattern (6–31 Jul): Tue/Thu orange = 6 from Frederikshavn, Wed red = 6, Mon/Fri rosa = 7. 6 is the modal ordinary weekday; range 6–7. Læsø→Frederikshavn has the same count on every day type. Overfartstid stated as 90 minutter"
Grenaa – Anholt,Anholtfærgen,Grenaa,Anholt,1,180,https://www.anholtfergen.dk/media/1394/sejlplan-2026-1.pdf,2026-09-09,"2026 sejlplan; ordinary July weekday is one round trip — Anholt 08.00, Grenaa 13.00 (two shading tones in the PDF separate the two directions). Anholt→Grenaa also 1. Double-trip days (Saturdays and mid-July Sundays) run 2 each way. Published crossing ca. 3 timer, ca. 2 t 30 min from Grenaa on double-trip days"
Hou – Tunø,Tunøfærgen,Hou,Tunø,4,55,https://cdn.odder.dk/odderkommune/Media/639034532120054843/tunoefaerge_fartplan2026.pdf,2026-09-09,"Fartplan valid 1/1–31/12 2026; Mandag–Fredag from Hou: 05.20 08.30 14.45 17.45. Tunø→Hou also 4 (06.20 10.00 16.15 19.00). The 12.10 departure is Saturday/Sunday only in the 30/5–6/9 period. Overfartstiden er 55 min"
Branden – Fur,Fursund Færgeri,Branden,Fur,72,3,https://furfaerge.dk/sejlplan-for-fur-faergen/,2026-09-09,"Derived, not counted: the operator publishes a frequency rule, not a departure list — from Fur every 15 min 05.00–19.00, every 30 min 19.00–01.00, hourly 01.00–05.00, and Branden 5 minutes after each Fur departure. That is 56+12+4 = 72 per direction per day. Evening/night sailings run only if passengers are waiting; 2 extra trips Sat/Sun at 01.30 and 02.30. Crossing 'ca. 3 min' per furnyt.dk (https://www.furnyt.dk/index.php?option=com_k2&view=item&id=641), not stated on the operator page"
Esbjerg – Fanø,Fanølinjen (Molslinjen),Esbjerg,Nordby (Fanø),,12,https://www.fanoelinjen.dk/fartplan,2026-09-09,"NUMBER NOT FOUND — left empty deliberately. The operator renders the timetable client-side and its own machine-readable catalog (api.molslinjen.dk/api/v1/ai/markup/data-catalog?language=da&line=6) returns HTTP 500 for every routeId. Operator states 'Overfarten tager kun cirka 12 minutter'; Fanø Kommune states 'I dagtimerne er der typisk tre afgange i timen'. Three-ferry operation runs Thu–Mon throughout July"
Hou – Sælvig,Samsø Rederi,Hou,Sælvig (Samsø),7,60,https://www.tilsamsoe.dk/wp-content/uploads/2026/06/ISABELLA-2026-ENGELSK-opd-300626.pdf,2026-09-09,"Prinsesse Isabella timetable, July–September 2026 page; every July weekday carries the blue-square day type: from Hou 07:00 09:30 12:00 14:30 17:00 19:30 22:00. Sælvig→Hou also 7 (05:45 08:15 10:45 13:15 15:45 18:15 20:45). Night departures 01:00/03:45 run only Sat→Sun and Sun→Mon. Crossing time is 60 min"
Snaptun – Endelave,Endelavefærgen,Snaptun,Endelave,4,70,https://mf-endelave.dk/media/xutgq3nv/sejlplan2026juli-december.pdf,2026-09-09,"Sejlplan 1 Jul–31 Dec 2026; ordinary July weekday codes are AD-EH (Mon–Thu) and AD-GI (Fri) = 4 round trips. From Snaptun Mon–Thu: 08.20 11.05 14.30 17.15; Endelave→Snaptun also 4 (06.30 09.45 13.05 15.50). Crossing runs 65–70 min by the published arrival times (70 on the morning trips, 65 on the afternoon ones)"
Hals – Egense,Aalborg Kommune,Hals,Egense,,,https://www.aalborg.dk/mit-liv/trafik-og-parkering/trafik-og-veje/faerger-og-broer/hals-egense-faergen/,2026-09-09,"NUMBER NOT FOUND — left empty deliberately. No timetable is published: the operator says 'Færgen sejler uafbrudt indtil klokken 20.00. Derefter hver halve time fra Hals'. High season 15 Jun–15 Aug: weekdays 06:30–24:00, weekends/holidays 07:00–24:00. Neither a departure count nor a crossing time is published"
Rønne – Ystad,Bornholmslinjen (Molslinjen),Rønne,Ystad,8,80,https://www.bornholmslinjen.dk/fartplan,2026-09-09,"Operator's stated high-season maximum, not a counted timetable column: 'Overfarten tager kun 80 minutter på Rønne-Ystad ruten. På hverdage sejler vi allerede fra klokken 6.30 og med op til fire daglige afgange hver vej... I højsæsonen (jun.-sep.) sætter vi en ekstra hurtigfærge ind, så du kan vælge mellem helt op til otte daglige afgange hver vej.' Same page's timetable widget is client-side only"
Helsingør – Helsingborg,Øresundslinjen,Helsingør,Helsingborg,,20,https://www.oresundslinjen.se/tidtabell,2026-09-09,"NUMBER NOT FOUND — left empty deliberately. Timetable renders client-side and the operator's own catalog endpoint (api.molslinjen.dk/api/v1/ai/markup/data-catalog?language=sv&line=7) returns HTTP 500. Operator states 'HELSINGBORG-HELSINGÖR PÅ 20 MINUTER', sailings around the clock, and on its freight timetable page 'Under dagstid erbjuder vi upp till 4 avgångar per timme' (https://www.oresundslinjen.se/frakt/tidtabell)"
