name,year,start_date,end_date,place,lat,lon,source_url
Sjælland Rundt,2015,2015-06-25,2015-06-25,Helsingør Nordhavn,56.0430,12.6154,https://web.archive.org/web/20150511234844/http://www.sjaellandrundt.dk/
Sjælland Rundt,2018,2018-06-28,2018-06-28,Helsingør Nordhavn,56.0430,12.6154,https://web.archive.org/web/20180507085926/http://sjaellandrundt.dk/
Sjælland Rundt,2021,2021-06-17,2021-06-21,Helsingør Nordhavn,56.0430,12.6154,https://helsingorsejlklub.nemtilmeld.dk/2/
Sjælland Rundt,2024,2024-06-13,2024-06-16,Helsingør Nordhavn,56.0430,12.6154,https://www.manage2sail.com/da-DK/event/SRSW2024
Sjælland Rundt,2025,2025-06-12,2025-06-15,Helsingør Nordhavn,56.0430,12.6154,https://www.manage2sail.com/da-DK/event/SRSW2025
Sjælland Rundt,2026,2026-06-11,2026-06-14,Helsingør Nordhavn,56.0430,12.6154,https://manage2sail.com/da-DK/event/3a4bd78c-acfb-474f-b47d-160705d3b0aa
Silverrudder,2015,2015-09-18,2015-09-18,Svendborg Havn,55.0613,10.6153,https://web.archive.org/web/20150903042246/http://silverrudder.com/
Silverrudder,2018,2018-09-22,2018-09-22,Svendborg Havn,55.0613,10.6153,https://www.dr.dk/nyheder/regionale/fyn/udsat-paa-grund-af-stormvejr-verdens-stoerste-enmandssejlads-gaar-rundt-om-fyn
Silverrudder,2021,2021-09-17,2021-09-17,Svendborg Havn,55.0613,10.6153,https://web.archive.org/web/20210805045512/http://www.silverrudder.com/
Silverrudder,2024,2024-09-20,2024-09-20,Svendborg Havn,55.0613,10.6153,https://web.archive.org/web/20240808055415/https://www.silverrudder.com/
Silverrudder,2025,2025-09-19,2025-09-19,Svendborg Havn,55.0613,10.6153,https://www.yacht.de/en/regatta/races/start-of-the-silverrudder-2025-a-special-regatta-for-special-boats/
Silverrudder,2026,2026-09-18,2026-09-18,Svendborg Havn,55.0613,10.6153,https://web.archive.org/web/20260609182638/https://www.silverrudder.com/
Fyn Cup,2015,2015-05-29,2015-05-31,Bogense Havn,55.5640,10.0814,https://web.archive.org/web/20150601222808/http://palbyfyncup.dk/sidstenyt.htm
Fyn Cup,2018,2018-05-25,2018-05-27,Bogense Havn,55.5640,10.0814,https://bs.nemtilmeld.dk/10/
Fyn Cup,2021,2021-05-28,2021-05-30,Bogense Havn,55.5640,10.0814,https://bs.nemtilmeld.dk/46/
Fyn Cup,2024,2024-05-31,2024-06-02,Bogense Havn,55.5640,10.0814,https://bs.nemtilmeld.dk/76/
Fyn Cup,2025,2025-05-23,2025-05-25,Bogense Havn,55.5640,10.0814,https://bs.nemtilmeld.dk/87/
Fyn Cup,2026,2026-05-29,2026-05-31,Bogense Havn,55.5640,10.0814,https://bs.nemtilmeld.dk/94/
Classic Fyn Rundt,2015,2015-06-05,2015-06-07,Kerteminde Havn,55.4494,10.6613,https://web.archive.org/web/20150429101354/http://fynrundt.dk/
Classic Fyn Rundt,2018,2018-06-01,2018-06-03,Kerteminde Havn,55.4494,10.6613,https://web.archive.org/web/20180325000951/http://fynrundt.dk/
Classic Fyn Rundt,2021,2021-06-04,2021-06-06,Kerteminde Havn,55.4494,10.6613,https://web.archive.org/web/20210508122722/http://fynrundt.dk/
Classic Fyn Rundt,2024,2024-06-07,2024-06-09,Kerteminde Havn,55.4494,10.6613,https://web.archive.org/web/20240607035544/http://fynrundt.dk/
Classic Fyn Rundt,2025,2025-05-30,2025-06-01,Kerteminde Havn,55.4494,10.6613,https://www.manage2sail.com/da-dk/event/319a5432-d50e-4a28-af5b-dd18c34506a1
Classic Fyn Rundt,2026,2026-06-05,2026-06-07,Kerteminde Havn,55.4494,10.6613,http://kerteminde-sejlklub.dk/staevner/fynrundt/
Kieler Woche,2015,2015-06-20,2015-06-28,Kiel-Schilksee Olympiahafen,54.4303,10.1716,https://web.archive.org/web/20150303173207/https://www.kieler-woche.de/
Kieler Woche,2018,2018-06-16,2018-06-24,Kiel-Schilksee Olympiahafen,54.4303,10.1716,https://web.archive.org/web/20180507111805/https://www.kieler-woche.de/
Kieler Woche,2021,2021-09-04,2021-09-12,Kiel-Schilksee Olympiahafen,54.4303,10.1716,https://web.archive.org/web/20210606041812/https://www.kieler-woche.de/
Kieler Woche,2024,2024-06-22,2024-06-30,Kiel-Schilksee Olympiahafen,54.4303,10.1716,https://web.archive.org/web/20240403181535/https://www.kieler-woche.de/
Kieler Woche,2025,2025-06-21,2025-06-29,Kiel-Schilksee Olympiahafen,54.4303,10.1716,https://web.archive.org/web/20250405173857/https://www.kieler-woche.de/
Kieler Woche,2026,2026-06-20,2026-06-28,Kiel-Schilksee Olympiahafen,54.4303,10.1716,https://web.archive.org/web/20260414162528/https://www.kieler-woche.de/
